User Name,Email,Phone,Shop Name,Booking Time,Location
Hassan,hassan.a1.chreif@gmail.com,71045402,Hugo Boss,10:00 AM,"Muscat, Oman"
jns,aaa@gmail.com,6516626030,Hugo Boss,10:00 PM,"Muscat, Oman"
jkn,jnkjjk@gmail.com,5416315859,Burberry Shop,11:00 PM,"Kuwait City, Kuwait"
mhammad,mhamad@gmail.com,71259875,Prada Store,10:00 PM,"Cairo, Egypt"
fouadBB,faouad@clpud.com,789456123,Gucci Flagship,02:44 PM,"Beirut, Lebanon"
miloud,miloud@hotmal.com,457892359,Gucci Flagship,05:00 AM,"Beirut, Lebanon"
miloud,miloud@hotmal.com,9896218626,Chanel Boutique,10:00 AM,"Dubai, UAE"
miloud,miloud@hotmal.com,1234567898,Hermès Outlet,10:00 AM,"Riyadh, Saudi Arabia"
miloud,miloud@hotmal.com,5125151615,Gucci Flagship,02:00 PM,"Muscat, Oman"
Hassoun,super11.hassan1999@gmail.com,07562548954,Prada Store,01:00 PM,"Jeddah, Saudi Arabia"
Hassoun,super11.hassan1999@gmail.com,516032035,Chanel Boutique,11:00 AM,"Doha, Qatar"
Hassoun,super11.hassan1999@gmail.com,5630515698,Hugo Boss,03:00 PM,"Cairo, Egypt"
Hassoun,super11.hassan1999@gmail.com,0756898784,Bottega Veneta,11:00 AM,"Cairo, Egypt"
Hassoun,super11.hassan1999@gmail.com,593006506516,Chanel Boutique,11:00 AM,"Cairo, Egypt"
